Domains	DA	DR	Traffic	Price$
Insightssuccessmagazine.com	44	43	2.5k	54
speedwaymedia.com	43	54	10.7k	67.09090909
Techworldgarage.com	2	0	7.1k	27.81818182
Dsnews.co.uk	46	44	19.3k	27.81818182
travelhubdubai.com	12	21	559k	50.72727273
tributemosthaunted.co.uk	28	17	23k	83.45454545
blooket.it.com	92	92	11k	27.81818182
blazingmenu.org	40	49	190.5k	40.90909091
Biscamagazine.co.uk	40	44	2.9K	24.54545455
englishrulebook.com	7	27	23k	27.81818182
Magazinecelebs.co.uk	40	48	4.7k	34.36363636
discoverreleased.com	10	13	1.3k	24.54545455
Englishtistic.com	41	51	25k	27.81818182
Grammariene.com	41	51	19k	27.81818182
Wordmaticz.com	41	52	7.7k	27.81818182
fundfireinsights.com	6	42	11.4k	27.81818182
matoketcs.com	40	44	3.5k	27.81818182
valplekar.com	40	20	2.2k	27.81818182
IndulgeWithIldi.com	16	27	13k	44.18181818
Ventsmagazine.co.uk	56	53	3.4k	47.45454545
Dotimes.co.uk	42	54	8.4k	31.09090909
latemagazine.com	40	54	39.3k	27.81818182
aiinsightsnews.net	19	13	35.6k	47.45454545
thesalfordmagazine.com	40	37	4.5k	40.90909091
indiacsr.in	46	68	36.5k	50.72727273
Secureblitz.com	54	51	3.1k	67.09090909
myliberla.com	53	44	48.8k	44.18181818
Mynewsgh.com	39	53	8.5k	50.72727273
teknobird.com	56	36	10.9k	44.18181818
SteelCurtainNetwork.com	12	7	7.5k	44.18181818
Sugermint.com	60	56	2.9k	37.63636364
spacecoastdaily.com	73	72	321.8k	181.6363636
markmeets.com	70	69	8.7k	109.6363636
gilaherald.com	39	45	9.8k	129.2727273
analyticsinsight.net	70	81	73.3k	234
calbizjournal.com	39	70	2.3k	80.18181818
Supanet.com	56	63	11.8k	67.09090909
padmagazine.co.uk	30	25	2.9k	76.90909091
radarro.com	38	41	28.2k	112.9090909
Americanspcc.org	56	68	23.9k	126
Mytunbridgewells.com	33	49	10.1k	76.90909091
programgeeks.net	45	50	7.3k	135.8181818
thedatascientist.com	36	64	87.4k	90
businessnewsthisweek.com	46	74	6.3k	63.81818182
businessapac.com	65	46	200	93.27272727
Tamaracamerablog.com	65	59	19.6k	67.09090909
frenchblog.fr Only French content	40	70	2.8k	37.63636364
promidaten.de only german content	51	40	3k	40.90909091
sadshayarihindi.com	43	72	8.9k	24.54545455
Punzlife.com	51	60	27.1k	54
Rarelyradiant.com 	51	60	11.7k	47.45454545
Pfpstack.com	54	61	11.7k	54
Hindishayaritext.com	50	61	27.8k	47.45454545
Alnewsworld.com 	54	63	2.5k	54
Punhour.com	52	62	13.9k	54
Funnnypuns.com 	55	61	19.7k	47.45454545
Comedybookz.com 	51	62	10.4k	47.45454545
Creativesimiles.com	41	61	5.9k	47.45454545
Pickupllines.com  	50	61	2.5k	47.45454545
Sloganloop.com 	40	62	5.4k	40.90909091
speakrj.com	41	81	6.1k	99.81818182
Fameimpact.com	54	80	78k	63.81818182
Instrumentalfx.co	73	81	75.2k	63.81818182
Techmistri.com	15	70	29.1k	44.18181818
Gramvix.com	3	10	8.3k	34.36363636
ipsbiography.com	42	55	32.5k	44.18181818
Wishregards.com	12	30	29k	63.81818182
Socialtricks.net	20	43	18.2k	34.36363636
Sizedesk.com	9	29	9.1k	34.36363636
Poetryskills.com	4	10	5.3k	34.36363636
charfen.co.uk	44	54	8.1k	27.81818182
businesstogen.com	42	52	3.5k	27.81818182
Thetanel.co.uk	42	53	3.7k	27.81818182
megazee.com	43	51	78k	27.81818182
praiseear.co.uk	43	49	2.7k	27.81818182
robconner.com	43	45	1.5k	27.81818182
okayuj.co.uk	45	46	42k	27.81818182
testerz.co.uk	41	42	1.4k	27.81818182
miguelflux.com	35	41	2.4k	27.81818182
tradrmom.com	40	42	4.2k	27.81818182
sebelles.com	42	44	5.5k	27.81818182
kingkendama.com	32	42	12k	27.81818182
ouchino.com	30	41	1.3k	27.81818182
pkwys.com	25	41	3.6k	27.81818182
lirunning.com	46	44	5.1k	27.81818182
Mhealer.co.uk	43	55	6.9k	37.63636364
travelnester.co.uk	43	54	5.2k	37.63636364
studywisdom.co.uk	43	53	5k	37.63636364
Homeella.com	42	43	1.2k	37.63636364
brandihomes.com	42	44	15.4k	37.63636364
thedippermagazine.com	40	60	19k	40.90909091
fawanews.org.uk	26	29	27.3k	34.36363636
thoughtgenic.com	43	65	13.7k	54
animalswildfacts.com	12	68	8.2k	54
Grammarmean.com	13	65	6.6k	54
Arenanames.com	12	68	6.4k	54
dailyvibs.co.uk	11	65	2.1k	44.18181818
Gramarz.com	13	50	3.8k	54
nameshives.com	2	40	5.7k	44.18181818
Postlypress.com	34	47	1.3k	54
Animeshow.io	38	52	3k	54
namesauras.com	8	68	2k	44.18181818
Jokescoff.com	26	59	3.7k	44.18181818
connection-hints.com	42	52	2.8k	24.54545455
callsbomber.com	40	54	2.1k	24.54545455
bulkdp.com	42	52	32.4k	24.54545455
starbucksmenuus.info	42	54	1.4k	24.54545455
www-joinmyquiz.com	40	72	4.4k	24.54545455
meaningvibes.com	39	72	5.4k	24.54545455
sportrulez.com	41	52	21.8k	24.54545455
grammarsguide.com	43	57	1.5k	24.54545455
purepfp.com	42	58	3k	24.54545455
gifdownloader.net	42	50	10.1k	24.54545455
wordorae.com	41	51	16k	24.54545455
etargetlimited.co.uk	39	72	3.3k	24.54545455
mcdsmenucanada.com	39	54	1.8k	24.54545455
flixbaba.org	41	72	14.2k	24.54545455
pickuplinne.com	42	52	2.7k	24.54545455
dailytrust.com	75	74	374.6k	86.72727273
ccr-mag.com	41	64	4.1k	54
upscalelivingmag.com	65	63	1.9k	50.72727273
businessconnectindia.in	34	66	6k	47.45454545
hedgethink.com	60	60	5.6k	126
intelligenthq.com	50	73	7.6k	126
businessabc.net	58	84	34.1k	126
fashionabc.org	57	82	8.4k	126
citiesabc.com	57	79	14.1k	126
theusaleaders.com	54	38	4.4k	90
mirrorreview.com	64	67	4.7k	90
imei.info	67	73	2M	76.90909091
hardreset.info	59	59	271.7k	76.90909091
tycoonstory.com	72	70	2.5k	80.18181818
ranktracker.com	40	78	45k	103.0909091
europeanbusinessmagazine.com	59	72	3.4k	80.18181818
realtytimes.com	58	74	2.5k	148.9090909
wheonx.com	64	62	133.3k	76.90909091
henof.com	66	50	526	83.45454545
bmmagazine.co.uk	66	77	18.1k	201.2727273
evpowered.co.uk	61	71	40.6k	201.2727273
muddyrivernews.com	46	70	89.6k	266.7272727
impactwealth.org	57	70	5.3k	109.6363636
thatericalper.com	59	61	157.4k	76.90909091
finance-monthly.com	52	72	10.6k	292.9090909
ceotodaymagazine.com	52	74	5k	292.9090909
lawyer-monthly.com	53	72	3.6k	292.9090909
supanet.com	55	61	11.9k	70.36363636
theclintoncourier.net	33	47	5k	63.81818182
emedicodiary.com	57	64	36.6k	103.0909091
peacequarters.com	73	46	98.1k	96.54545455
deadlinenews.co.uk	72	64	7.9k	139.0909091
theedinburghreporter.co.uk	56	66	10.1k	139.0909091
dailybusinessgroup.co.uk	48	58	23.8k	139.0909091
yourharlow.com	38	48	11.6k	139.0909091
yourthurrock.com	46	39	2.7k	139.0909091
holyroodpr.co.uk	34	20	1.7k	139.0909091
deeside.com	48	52	9.6k	139.0909091
Thewebinkey.com	41	52	2k	27.81818182
Myuploadarticle.com	41	51	8.4k	27.81818182
Thetechnorozen.com	33	17	9.4k	24.54545455
thealkhaleejcenter.com	41	33	9.2k	40.90909091
The-cashstark.com	41	51	26.2k	27.81818182
Thestudyxcel.com	41	51	5.4k	27.81818182
Eyesonhunt.com	41	53	3.7k	27.81818182
www-gimkit.com	36	51	2k	24.54545455
acftcalculator.co.uk	35	26	1.7k	27.81818182
thetechsslaash.com	33	51	3.8k	24.54545455
join-myquiz.com	35	54	8.1k	40.90909091
garforfans.com	37	10	11k	24.54545455
mixmoz.com	32	52	49.6k	24.54545455
the7starhd.com	31	52	6.3k	24.54545455
Thewheonx.com	34	52	7k	24.54545455
theaavot.com	34	51	6.8k	24.54545455
Captionsoul.com	39	52	2.8k	27.81818182
wayground.com.co	33	51	4.6k	24.54545455
candizi.org	37	34	2.4k	24.54545455
Twastia.com.co	35	53	11.8k	24.54545455
Grammartrinds.com	33	53	7.1k	34.36363636
Moodfordecor.com	48	60	1.7k	47.45454545
Getwishers.com	52	61	1.5k	47.45454545
Foodstampsneed.com	42	60	3.5k	47.45454545
Punsspark.com 	52	60	1.6k	54
Punwaves.com	55	61	1.5k	54
Lovelywishy.com 	40	61	1.2k	40.90909091
Thenewsmedium.com	40	71	4.4k	99.81818182
CeoColumn.com	56	81	3.6k	70.36363636
Bodysizex.com	7	71	1.7k	34.36363636
iclmeaning.com	4	25	3.4k	44.18181818
lifestylenetworth.com	13	51	2.2k	44.18181818
Gorillaoverview.com	56	51	1.4k	57.27272727
hindiyaro.org	53	52	1.5k	57.27272727
Coolbio.org	56	51	2.7k	57.27272727
Gettywallpapers.com	49	45	8.1k	34.36363636
Bigstarbio.com	56	50	4.8k	44.18181818
Instabiokick.com	11	51	5.6k	57.27272727
Itsbirthdayy.com	12	42	8.9k	34.36363636
utdxclusive.co.uk	40	56	1.6k	27.81818182
letmagazine.co.uk	40	25	3.9k	27.81818182
timelynews.co.uk	41	59	2.6k	34.36363636
zentmagazine.co.uk	43	60	1.7k	34.36363636
Marcorepublic.com	41	52	4k	34.36363636
zapcrest.co.uk	41	53	42.7k	34.36363636
raremagazine.co.uk	38	60	1.1k	44.18181818
constrofacilitator.com	44	54	5.5k	63.81818182
yonkerstimes.com	42	56	56.1k	70.36363636
Bratgen.io	5	23`	30.2k	34.36363636
todaysmagazine.co.uk	41	54	8.1k	40.90909091
theprestonmagazine.com	41	47	6.7k	40.90909091
tuffermagazine.co.uk	52	41	4.7k	40.90909091
writerblog.co.uk	35	40	5.3k	27.81818182
Techmagazines.net	59	46	26.5k	50.72727273
bentsmagazine.co.uk	41	53	3.8k	40.90909091
balzaromagazine.co.uk	40	55	1.5k	34.36363636
Blogbuz.co.uk	37	50	2.6k	50.72727273
Plangud.com	50	55	3.1k	27.81818182
addmagazine.co.uk	16	34	5.8k	57.27272727
Inmagazine.co.uk	40	50	1.9k	37.63636364
cloudmagazine.co.uk	35	60	1.3k	37.63636364
entrepreneursbreak.com	56	62	1.2k	27.81818182
Mercht.com	36	43	1.6k	44.18181818
Engleish.com	41	66	10.6k	47.45454545
Romanticpickups.com	40	50	1.6k	47.45454545
Pureyummyrecipes.com	58	63	1.9k	40.90909091
Vallomagazine.com	50	61	3.9k	47.45454545
Thetokyotourist.com	19	1.9	1k	44.18181818
newsbritania.co.uk	3	62	7.3k	40.90909091
megavol.co.uk	38	53	4.7k	31.09090909
ustimemagazine.co.uk	35	50	10.4k	37.63636364
europeanmagazine.co.uk	35	54	2.8k	37.63636364
factnews.co.uk	42	71	1.6k	34.36363636
Sams-odisha.org	7	3	3.6k	27.81818182
Nestivomagazine.co.uk	40	65	4.9k	34.36363636
Primebreak.co.uk	39	64	1.7k	34.36363636
Shayaripower.com	43	72	13.9k	50.72727273
Viralfeed.uk	40	14	3.3K	31.09090909
streameast-soccer.com	4	25	1.2K	27.81818182
Magazine.co.com	38	90	1K	40.90909091
palentu.com	33	50	2.2K	24.54545455
newsatrack.co.uk	39	48	22.9K	40.90909091
sixmagazine.co.uk	34	65	4.8K	40.90909091
techwinks.com.in	23	42	14.4K	40.90909091
theridgewoodblog.net	46		4.9K	70.36363636
Bhoomi-rtconline.com	55	65	4.3K	40.90909091
Punsberry.com	61	71	2.3K	54
Popularmarathi.in	61	70	1.3K	40.90909091
Shayaritoyou.com	60	71	2.9K	47.45454545
Techstudify.com	4	27	18K	34.36363636
Thetechnotricks.in	57	56	3.7k	31.09090909
newsletterboxed.com	32	60	2k	34.36363636
wortendo.net	31	26	1.8k	31.09090909
Usawire.com	55	68	5.2k	27.81818182
futuresbytes.co.uk	40	30	2.6k	37.63636364
mediaclicks.co.uk	44	57	1.2k	24.54545455
widemagazine.co.uk	40	50	6.2k	31.09090909
intelligentliving.co	48	64	905	96.54545455
easygrader.net	16	13	2.3k	34.36363636
ffsn.com	29	20	979	50.72727273
psychreg.org	53	73	1.9k	57.27272727
Wnynewsnow.com	37	41	891	34.36363636
Powderrooms.co.uk	30	34	2.6k	50.72727273
Moranalytics.com	25	27	53.7k	54
earntuffer.com	37	29	41.9k	37.63636364
Shkoh.com	15	16	0	27.81818182
Menuspricesphl.com	25	30	3.8k	34.36363636
thisdaylive.com	79	78	322.6k	76.90909091
erone.co.uk	39	24	1.2k	57.27272727
rawmags.com	15	17	80.1k	44.18181818
1883magazine.com	51	62	31.4k	103.0909091
Educationalbaba.org	58	61	7k	40.90909091
Tamilprint2.co.uk	29	24	4.9k	31.09090909
Kongotech.org	50	53	3.4M	34.36363636
Brandedpoetry.com	17	33	1.6k	31.09090909
techsslaash.com	13	60	47.1k	31.09090909
arcarrierpoint.net	56	56	152.8k	31.09090909
newztalkies.com	7	56	86.7k	37.63636364
Yooooga.com	26	35	26.4k	40.90909091
bigwritehook.co.uk	39	34	14.1k	27.81818182
todaybignews.co.uk	48	39	2.4k	34.36363636
indykaila.co.uk	50	46	352	27.81818182
Ventsmillion.com	40	47	258	27.81818182
thetimelynews.com	35	32	8	31.09090909
puzutaska.com	35	32	441	31.09090909
Breakzone.co.uk	3	52	0	27.81818182
biliumnews.co.uk	41	44	28	31.09090909
Novainsights.co.uk	41	54	36	27.81818182
magazineinsights.co.uk	41	54	48	27.81818182
Usasparktime.co.uk	41	54	64	27.81818182
mymagazine.blog	42	41	104	40.90909091
tribune.co.com	30	90	263	40.90909091
metapress.com	76	79	444	80.18181818
Muichiro.co.uk	41	41	101	34.36363636
topcelebrities.co.uk	40	46	85	27.81818182
Thebigger.com	48	37	1.5k	96.54545455
Cropmagazine.co.uk	40	44	1k	27.81818182
randomdecider.com	40	0.7	846	54
roseslandusa.com	39	1	37	34.36363636
Agefact.co.uk	40	49	1.6k	37.63636364
Wilsondrake.com	40	10	2k	50.72727273
Wilsonyb.com	37	0	217	47.45454545
uselegance.co.uk	43	46	973	37.63636364
Imagezila.com	41	62	997	44.18181818
footballclubmenu.com	39	55	467	40.90909091
Synonymwave.com	10	30	738	44.18181818
draemmeaning.com	40	53	271	24.54545455
captionloving.com	38	72	258	24.54545455
capcutproapk.tr	43	54	297	24.54545455
menupricephl.com	41	72	390	24.54545455
thinkoora.com	40	52	849	24.54545455
stylevanity.com	58	52	648	50.72727273
globalhealthcaremagazine.com	38	45	966	90
Binilyaas.com	39	52	173	27.81818182
Moonvalleynews.org	34	53	472	24.54545455
Buildingbusinessnews.org	33	53	953	24.54545455
Themagzyminutes.com	39	51	6	27.81818182
BossMagazine.co.uk	41	53	32	34.36363636
whatutalkingboutwillis.com.co	41	52	113	27.81818182
Gonzay.com.co	35	51	112	24.54545455
lidnews.org	33	52	220	24.54545455
Thetechlein.com	34	52	1	24.54545455
newsross.org	34	52	228	24.54545455
thesevenseventech.com	35	50	141	24.54545455
TheTeckjb.com	34	51	451	24.54545455
weeklymag.co.uk	39	51	687	27.81818182
worthaura.com	39	58	581	27.81818182
pushwiki.com.co	41	53	0	24.54545455
Thebrumeblog.com	35	52	5	24.54545455
Thepushwiki.com	37	52	31	24.54545455
r6marketplace.com.co	39	53	466	27.81818182
celebscrest.com	39	51	518	27.81818182
Thequeekmag.com	41	53	56	24.54545455
joinmyquiz.com.co	33	20	617	24.54545455
tovisitvuzillfotsps.org	40	53	5	24.54545455
Thewayground.com	36	43	430	24.54545455
mahitechinfo.co.uk	33	50	65	24.54545455
themagfusehub.com	41	53	27	24.54545455
Thepuzutask.com	41	53	443	24.54545455
Thearticlerelease.com	40	54	9	27.81818182
thezingyzon.com	39	52	12	27.81818182
almawadahit.com.co	39	52	27	27.81818182
uploadwords.com.co	39	51	0	27.81818182
Meaningspots.com 	51	60	467	47.45454545
Pickuppulse.com	42	60	564	47.45454545
Expressnewz.co.uk	54	61	674	40.90909091
Restaurantsmenuusa.com	52	62	511	54
Widerweekly.co.uk	55	60	533	40.90909091
Foodiejokes.com	61	72	731	40.90909091
Starledgerpro.com 	51	63	623	40.90909091
Juggsmagazines.com	55	61	730	47.45454545
Effectivelaws.com	41	24	666	44.18181818
Marketbellions.com	5	7	8	44.18181818
Laptoptestguide.com	41	48	574	34.36363636
iasdetails.com	37	50	769	57.27272727
wordlehintjournal.com	43	57	1	34.36363636
ExclusiveMagazine.co.uk	40	24	570	27.81818182
Orbitalmagazine.co.uk	41	46	410	27.81818182
Dailybriefing.it.com	90	90	345	27.81818182
digitalpress.it.com	93	92	239	40.90909091
Sglocalnews.com	43	27	1	27.81818182
businessage.com	31	64	941	83.45454545
digitechnopost.com	48	28	57	73.63636364
solutionhow.com	64	40	120	122.7272727
digitaljournalusa.co.uk	40	32	814	34.36363636
flypapermagazine.com	47	26	506	31.09090909
nextoriaacademy.com	39	50	11	34.36363636
dreaming-freedom.com	7	4.5	0	27.81818182
Magazinebabylon.com	55	1.8k	0	27.81818182
bishopwcmartin.com	15	43	0	37.63636364
Puremagazine.co.uk	36	32	37	44.18181818
Eopis.co.uk	40	50	0	34.36363636
Zooplas.co.uk	39	51	708	27.81818182
Reelsmedia.co.uk	43	72	21	27.81818182
intelligentnews.co.uk	40	54	885	34.36363636
gossiply.co.uk	39	46	166	34.36363636
freezemagazine.co.uk	41	60	0	40.90909091
idiomsinsider.com	11	30	37	27.81818182
Truerealtyvalue.com	31	30	0	37.63636364
greenrecord.co.uk	53	68	355	27.81818182
Blogstrove.com	37	33	27	34.36363636
kivomind.com	35	50	0	37.63636364
hopestech.co.uk	35	60	1	37.63636364
Templeknowledge.com	9	28	1	37.63636364
JuliaBettencourt.com	33	30	30	44.18181818
jezzieg.com	2	12	0	31.09090909
Itsnotamerica.com	12	8	4	37.63636364
Dar-care.com	5	33	5	40.90909091
DesignViva.com	20	29	0	47.45454545
ssoidraj.com	7	11	1	31.09090909
Knifehelp.net	29	6	101	31.09090909
Moptech.net	19	10	0	31.09090909
Propsandarmor.com	14	15	0	31.09090909
Theyoungnarrative.com	14	7	2	31.09090909
Empireinfohub.com	42	63	446	40.90909091
Namesslection.com	55	66	181	40.90909091
Wordypuns.com	39	54	307	47.45454545
Findnamez.com	55	62	389	54
Zayvirx.com	51	62	0	47.45454545
Infobiosphere.com	35	41	133	47.45454545
Newsswift.co.uk	41	35	0	27.81818182
celebrityworldz.co.uk	39	55	0	27.81818182
dailycelebs.co.uk	41	54	386	27.81818182
marshmagazine.co.uk	2	60	4	37.63636364
everydaygas.co.uk	40	50	0	37.63636364
elightwave.co.uk	40	53	177	27.81818182
theopenspark.com	23	53	0	27.81818182
businessinside.co.uk	41	51	391	27.81818182
Techdailyjournal.co.uk	39	60	214	27.81818182
Insidefame.co.uk	36	61	537	31.09090909
Clockmagazine.co.uk	34	52	14	27.81818182
Blessifydaily.com	33	43	0	31.09090909
contentideators.com	42	40	437	27.81818182
Uploadarticle.online	43	1	47	27.81818182
Magaprime.co.uk	38	63	65	34.36363636
Techeprime.co.uk	39	62	27	34.36363636
Everydaymagazine.co.uk	37	60	975	34.36363636
Pentomagazine.com	41	73	36	57.27272727
Finitenames.com	42	73	237	50.72727273
Shayaribloom.com	41	72	566	40.90909091
Londonlifemagazine.co.uk	41	70	192	40.90909091
mybioshow.com	41	71	130	40.90909091
celebsbiofolio.com	42	70	0	40.90909091
Pioneertime.co.uk	40	60	81	27.81818182
Minigeneral.com	40	60	0	27.81818182
Newspioneer.co.uk	35	45	11	40.90909091
wittymagazine.co.uk	40	41	883	31.09090909
teddyoutready.com	20	56	22	44.18181818
Vivamagazine.co.uk	40	50	196	34.36363636
Holistickmagazine.co.uk	40	50	0	34.36363636
Adventuretimes.co.uk	36	72	291	40.90909091
Glolights.co	38	53	753	31.09090909
theknowledgearrow.com	32	17	0	24.54545455
blogflying.co.uk	39	51	195	24.54545455
dktimes.co.uk	2	10	962	31.09090909
only-professional.com	42	42	0	37.63636364
celebritymagazine.co.uk	3	42	0	40.90909091
Dippermagazine.co.uk	40	56	44	37.63636364
dotmagazine.co.uk	33	52	35	37.63636364
fourmagazine.co.uk	44	63	66	37.63636364
coopermagazine.co.uk	37	59	1	37.63636364
Westernbusiness.co.uk	42	57	211	40.90909091
tadaybignews.co.uk	40	60	173	34.36363636
Usamagazinebreak.com	41	62	0	34.36363636
Uktimemagazine.co.uk	41	58	231	34.36363636
Valplekar.co.uk	40	58	3	34.36363636
metamagazine.co.uk	42	68	42	34.36363636
soonmagazine.co.uk	46	6	0	27.81818182
widerweekly.co.uk	42	52	504	40.90909091
Crumbllineup.us	56	70	370	47.45454545
Boldlynames.com	55	71	160	47.45454545
Goldbuzz.co.uk	60	72	407	47.45454545
Swiftypuns.com	56	72	176	40.90909091
Nameslections.com	60	70	469	40.90909091
Wishpulses.com	60	70	402	40.90909091
Righter.io	60	71	0	40.90909091
Measurevan.com	41	70	83	40.90909091
Fanzynames.com	54	70	76	40.90909091
Techflee.co.uk	61	72	23	40.90909091
fozymessages.com	61	73	0	40.90909091
Hypeprofiles.com	42	73	18	40.90909091
Networthexplore.com	61	73	0	47.45454545
Hunkwizards.com	51	70	2	40.90909091
Starttostory.com	61	70	47	40.90909091
pureprairiefarm.com	42	62	4	34.36363636
psdmathletes.com	42	51	322	27.81818182
obsidian-ark.com	11	52	0	27.81818182
soldmagazine.co.uk	40	23	69	40.90909091
Nafarescue.org	24	14	0	37.63636364
Thetalearningpoint.com	40	21	0	37.63636364
Livemag.org.uk	40	40	57	34.36363636
livesmagazine.co.uk	35	40	0	27.81818182
livemag.blog	35	40	0	27.81818182
famefortunes.co.uk	30	50	0	27.81818182
womenstorie.co.uk	30	50	3	27.81818182
blogvistly.co.uk	40	30	85	31.09090909
gorod.it.com	88	89	38	34.36363636
daily.uk.com	34	92	0	40.90909091
blogblaster.co.uk	40	40	601	34.36363636
ventoxweekly.co.uk	40	41	676	27.81818182
fatechme.com	34	15	1	34.36363636
urbansplatter.uk	30	51	0	31.09090909
rankerblog.co.uk	41	52	303	31.09090909
newsblaster.co.uk	42	52	0	31.09090909
techfanzine.co.uk	41	53	265	24.54545455
techybizz.com	41	55	0	31.09090909
theinspirebuzz.co.uk	37	53	4	24.54545455
sdkblog.co.uk	2	56	0	27.81818182
globaltill.com	24	19	47	40.90909091
wissnow.com	20	8	471	44.18181818
ukrtime.co.ua	5	50	6	31.09090909
dm-team.co.uk	32	60	0	37.63636364
dailyodyssey.co.uk	34	7	10	31.09090909
1word4pics.com	22	43	28	34.36363636
playwordle.co.uk	23	31	24	31.09090909
Newsb.co.uk	42	44	48	27.81818182
Bionewsly.com	41	10	17	31.09090909
Formagazine.co.uk	33	8	734	24.54545455
Apexnews.co.uk	41	8	5	24.54545455
DailyNewsBlog.co.uk	30	29	0	57.27272727
really-haunted.com	5	9	0	96.54545455
rajasthanssologin.com	37	58	29	57.27272727
techtaalk.com	51	35	0	57.27272727
abnnews.co.uk	36	11	0	37.63636364
uvlack.co.uk	35	12	0	37.63636364
schedow.co.uk	35	11	0	37.63636364
hyperfiksaatio.com	35	12	0	37.63636364
ethlopla.com	34	11	0	37.63636364
thesparktime.com	37	16	0	37.63636364
javalava.org	9	5	0	40.90909091
mobmunch.com	5	0	0	37.63636364
phillydaily.com	19	21	562	44.18181818
thetipsygypsies.net	21	31	0	44.18181818
awarenessideas.com	25	23	42	44.18181818
eo-pis.com	34	33	0	40.90909091
merlinphysio.com	19	35	0	57.27272727
thepointm.com	7	9	0	40.90909091
braflix.org.uk	17	28	517	27.81818182
bracesbycaves.com	39	25	0	27.81818182
paytimes.co.uk	43	37	0	27.81818182
Livesrecords.com	40	60	0	40.90909091
wordstwists.com	41	71	37	54
Fantomagazines.com	40	70	0	47.45454545
Sgmenulover.org	41	60	132	40.90909091
Punsclick.com	41	70	1	40.90909091
Fantasenamegenerator.com	43	71	0	40.90909091
Craftypuns.com	41	70	119	54
Liftingmags.com	40	65	0	40.90909091
2amagazine.com	58	38	65	83.45454545
megamagazine.co.uk	36	42	0	34.36363636
greenecodream.com	45	55	63	76.90909091
itsreleased.co.uk	44	67	228	34.36363636
Voguevocal.com	21	19	0	50.72727273
International-education.com	14	11	2	40.90909091
Iparryeverything.com	9	0.5	15	40.90909091
Scope24.net	10	3.1	0	40.90909091
ecomagazine.co.uk	40	50	251	44.18181818
newsbro.co.uk	40	19	32	31.09090909
grandmag.co.uk	35	43	0	27.81818182
FintechZoom-io.com	41	51	271	34.36363636
coopmagazine.co.uk	40	49	6	31.09090909
notostechnologies.com	40	17	0	27.81818182
psbios.co.uk	36	33	276	57.27272727
jewelsgalaxywholesale.com	15	26	23	31.09090909
exploreclarion.co.uk	6	56	0	31.09090909
gmru.co.uk	37	23	69	24.54545455
Theurlebird.com	35	6	242	24.54545455
Techprimex.com	58	53	16	31.09090909
cordless.io	57	38	8	40.90909091
Rubblemagazine.co.uk	18	22	22	37.63636364
Streameast.org.uk	37	57	121	34.36363636
Myflexbot.co.uk	36	67	0	34.36363636
nazthrift.com	14	12	0	27.81818182
exploratoryglory.com	19	42	220	44.18181818
